 N   , fold ,   FillX    ,  a   ,   RDSUM   ,   RSSUM   
8192 , 3    , rand       , 1000 , 4.216e-06 , 2.108e-06 
8192 , 3    , half_range , 1000 , 4.216e-06 , 2.108e-06 

 N   , fold ,   FillX    ,  a   ,   RDSUM   ,   RSSUM   
8192 , 3    , rand       , 1000 , 6.583e-06 , 4.103e-06 
8192 , 3    , half_range , 1000 , 6.819e-06 , 4.337e-06 

 N   , fold , FillX  ,   DSUM    ,   RDSUM   
(4096, 4096, 4096) , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 5.053e+00 , 3.537e+01 

 ('N', 'M', 'K')   ,  ('TransA', 'TransB')  , fold , FillA  ,  a  ,   DGEMM   ,  RDGEMM   
(64, 64, 64)       , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 3.202e-05 , 8.893e-04 
(128, 128, 128)    , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 1.991e-04 , 4.343e-03 
(256, 256, 256)    , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 1.423e-03 , 2.505e-02 
(512, 512, 512)    , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 1.124e-02 , 1.634e-01 
(1024, 1024, 1024) , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 8.758e-02 , 1.211e+00 
(2048, 2048, 2048) , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 6.947e-01 , 9.670e+00 
(4096, 4096, 4096) , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 5.962e+00 , 7.596e+01 

